trip_id,stop_sequence,stop_id,arrival_time,departure_time
YB2219-20240429-20240930-0000111,1,YWH,16:40:00,16:40:00
YB2219-20240612-20240902-0001111,0,CXH,16:05:00,16:05:00
YB2219-20240612-20240902-0001111,1,YWH,16:40:00,16:40:00
YB2227-20240916-20240930-0000011,0,CXH,16:25:00,16:25:00
YB2227-20240916-20240930-0000011,1,YWH,17:00:00,17:00:00
YB2229-20240916-20240930-1111111,0,CXH,16:30:00,16:30:00
YB2229-20240916-20240930-1111111,1,YWH,17:05:00,17:05:00
YB2233-20240916-20240930-0001100,0,CXH,16:40:00,16:40:00
YB2233-20240916-20240930-0001100,1,YWH,17:15:00,17:15:00
YB2235-20240916-20240930-1111111,0,CXH,16:45:00,16:45:00
YB2235-20240916-20240930-1111111,1,YWH,17:20:00,17:20:00
YB2237-20240916-20240930-1111111,0,CXH,16:50:00,16:50:00
YB2237-20240916-20240930-1111111,1,YWH,17:25:00,17:25:00
YB2239-20240916-20240930-1110011,0,CXH,16:55:00,16:55:00
YB2239-20240916-20240930-1110011,1,YWH,17:30:00,17:30:00
YB2241-20240429-20240930-1111111,0,CXH,17:00:00,17:00:00
YB2241-20240429-20240930-1111111,1,YWH,17:35:00,17:35:00
YB2245-20240429-20240531-0000100,0,CXH,17:10:00,17:10:00
YB2245-20240429-20240531-0000100,1,YWH,17:45:00,17:45:00
YB2245-20240601-20240902-0000111,0,CXH,17:10:00,17:10:00
YB2245-20240601-20240902-0000111,1,YWH,17:45:00,17:45:00
YB2247-20240916-20240930-1111000,0,CXH,17:15:00,17:15:00
YB2247-20240916-20240930-1111000,1,YWH,17:50:00,17:50:00
YB2247-20240429-20240915-1111111,0,CXH,17:15:00,17:15:00
YB2247-20240429-20240915-1111111,1,YWH,17:50:00,17:50:00
YB2249-20240429-20240915-0000011,0,CXH,17:20:00,17:20:00
YB2249-20240429-20240915-0000011,1,YWH,17:55:00,17:55:00
YB2253-20240429-20240915-1111111,0,CXH,17:30:00,17:30:00
YB2253-20240429-20240915-1111111,1,YWH,18:05:00,18:05:00
YB2257-20240628-20240915-1110000,0,CXH,17:40:00,17:40:00
YB2257-20240628-20240915-1110000,1,YWH,18:15:00,18:15:00
YB2259-20240916-20240930-1100000,0,CXH,17:45:00,17:45:00
YB2259-20240916-20240930-1100000,1,YWH,18:20:00,18:20:00
YB2259-20240429-20240627-1110000,0,CXH,17:45:00,17:45:00
YB2259-20240429-20240627-1110000,1,YWH,18:20:00,18:20:00
YB2259-20240628-20240915-1111111,0,CXH,17:45:00,17:45:00
YB2259-20240628-20240915-1111111,1,YWH,18:20:00,18:20:00
YB2261-20240429-20240531-0000101,0,CXH,17:50:00,17:50:00
YB2261-20240429-20240531-0000101,1,YWH,18:25:00,18:25:00
YB2261-20240916-20240930-0001010,0,CXH,17:50:00,17:50:00
YB2261-20240916-20240930-0001010,1,YWH,18:25:00,18:25:00
YB2265-20240916-20240930-0011111,0,CXH,18:00:00,18:00:00
YB2265-20240916-20240930-0011111,1,YWH,18:35:00,18:35:00
YB2265-20240429-20240915-1111111,0,CXH,18:00:00,18:00:00
YB2265-20240429-20240915-1111111,1,YWH,18:35:00,18:35:00
YB2267-20240916-20240930-0000111,0,CXH,18:05:00,18:05:00
YB2267-20240916-20240930-0000111,1,YWH,18:40:00,18:40:00
YB2267-20240429-20240915-0001111,0,CXH,18:05:00,18:05:00
YB2267-20240429-20240915-0001111,1,YWH,18:40:00,18:40:00
YB2269-20240429-20240915-0001010,0,CXH,18:10:00,18:10:00
YB2269-20240429-20240915-0001010,1,YWH,18:45:00,18:45:00
YB2271-20240429-20240915-1111111,0,CXH,18:15:00,18:15:00
YB2271-20240429-20240915-1111111,1,YWH,18:50:00,18:50:00
YB2103-20240429-20240930-1111111,0,CXH,11:15:00,11:15:00
YB2103-20240429-20240930-1111111,1,YWH,11:50:00,11:50:00
YB2205-20240628-20240915-0000111,0,CXH,15:30:00,15:30:00
YB2205-20240628-20240915-0000111,1,YWH,16:05:00,16:05:00
YB2014-20240429-20240930-1111100,0,YWH,07:30:00,07:30:00
YB2014-20240429-20240930-1111100,1,CXH,08:05:00,08:05:00
YB2020-20240429-20240930-1111111,0,YWH,07:45:00,07:45:00
YB2020-20240429-20240930-1111111,1,CXH,08:20:00,08:20:00
YB2026-20240429-20240930-0000011,0,YWH,08:00:00,08:00:00
YB2026-20240429-20240930-0000011,1,CXH,08:35:00,08:35:00
YB2036-20240429-20240930-1111111,0,YWH,08:25:00,08:25:00
YB2036-20240429-20240930-1111111,1,CXH,09:00:00,09:00:00
YB2038-20240601-20240930-1111111,0,YWH,08:30:00,08:30:00
YB2038-20240601-20240930-1111111,1,CXH,09:05:00,09:05:00
YB2044-20240429-20240930-1111111,0,YWH,08:45:00,08:45:00
YB2044-20240429-20240930-1111111,1,CXH,09:20:00,09:20:00
YB2048-20240429-20240627-0000111,0,YWH,08:55:00,08:55:00
YB2048-20240429-20240627-0000111,1,CXH,09:30:00,09:30:00
YB2048-20240628-20240930-1111111,0,YWH,08:55:00,08:55:00
YB2048-20240628-20240930-1111111,1,CXH,09:30:00,09:30:00
YB2054-20240429-20240930-0000011,0,YWH,09:10:00,09:10:00
YB2054-20240429-20240930-0000011,1,CXH,09:45:00,09:45:00
YB2056-20240429-20240930-1111111,0,YWH,09:15:00,09:15:00
YB2056-20240429-20240930-1111111,1,CXH,09:50:00,09:50:00
YB2058-20240429-20240930-1111100,0,YWH,09:20:00,09:20:00
YB2058-20240429-20240930-1111100,1,CXH,09:55:00,09:55:00
YB2060-20240628-20240930-0000111,0,YWH,09:25:00,09:25:00
YB2060-20240628-20240930-0000111,1,CXH,10:00:00,10:00:00
YB2062-20240429-20240930-0001000,0,YWH,09:30:00,09:30:00
YB2062-20240429-20240930-0001000,1,CXH,10:05:00,10:05:00
YB2064-20240429-20240531-0000100,0,YWH,09:35:00,09:35:00
YB2064-20240429-20240531-0000100,1,CXH,10:10:00,10:10:00
YB2064-20240601-20240902-0001111,0,YWH,09:35:00,09:35:00
YB2064-20240601-20240902-0001111,1,CXH,10:10:00,10:10:00
YB2068-20240429-20240930-1111111,0,YWH,09:45:00,09:45:00
YB2068-20240429-20240930-1111111,1,CXH,10:20:00,10:20:00
YB2074-20240429-20240930-1111111,0,YWH,10:00:00,10:00:00
YB2074-20240429-20240930-1111111,1,CXH,10:35:00,10:35:00
YB2080-20240429-20240930-1111111,0,YWH,10:15:00,10:15:00
YB2080-20240429-20240930-1111111,1,CXH,10:50:00,10:50:00
YB2086-20240429-20240930-0000011,0,YWH,10:30:00,10:30:00
YB2086-20240429-20240930-0000011,1,CXH,11:05:00,11:05:00
YB2098-20240429-20240930-1111111,0,YWH,11:00:00,11:00:00
YB2098-20240429-20240930-1111111,1,CXH,11:35:00,11:35:00
YB2110-20240429-20240627-0000111,0,YWH,11:30:00,11:30:00
YB2110-20240429-20240627-0000111,1,CXH,12:05:00,12:05:00
YB2110-20240628-20240930-1111111,0,YWH,11:30:00,11:30:00
YB2110-20240628-20240930-1111111,1,CXH,12:05:00,12:05:00
YB2122-20240429-20240930-0001000,0,YWH,12:00:00,12:00:00
YB2122-20240429-20240930-0001000,1,CXH,12:35:00,12:35:00
YB2146-20240429-20240930-1111111,0,YWH,13:00:00,13:00:00
YB2146-20240429-20240930-1111111,1,CXH,13:35:00,13:35:00
YB2170-20240601-20240902-0000011,0,YWH,14:00:00,14:00:00
YB2170-20240601-20240902-0000011,1,CXH,14:35:00,14:35:00
YB2182-20240429-20240930-0000111,0,YWH,14:30:00,14:30:00
YB2182-20240429-20240930-0000111,1,CXH,15:05:00,15:05:00
YB2194-20240429-20240915-0001000,0,YWH,15:00:00,15:00:00
YB2194-20240429-20240915-0001000,1,CXH,15:35:00,15:35:00
YB2200-20240429-20240627-0000111,0,YWH,15:15:00,15:15:00
YB2200-20240429-20240627-0000111,1,CXH,15:50:00,15:50:00
YB2200-20240628-20240930-1111111,0,YWH,15:15:00,15:15:00
YB2200-20240628-20240930-1111111,1,CXH,15:50:00,15:50:00
YB2206-20240916-20240930-1111111,0,YWH,15:30:00,15:30:00
YB2206-20240916-20240930-1111111,1,CXH,16:05:00,16:05:00
YB2212-20240916-20240930-1111111,0,YWH,15:45:00,15:45:00
YB2212-20240916-20240930-1111111,1,CXH,16:20:00,16:20:00
YB2218-20240429-20240915-1111111,0,YWH,16:00:00,16:00:00
YB2218-20240429-20240915-1111111,1,CXH,16:35:00,16:35:00
YB2224-20240916-20240930-1111000,0,YWH,16:15:00,16:15:00
YB2224-20240916-20240930-1111000,1,CXH,16:50:00,16:50:00
YB2224-20240429-20240915-1111011,0,YWH,16:15:00,16:15:00
YB2224-20240429-20240915-1111011,1,CXH,16:50:00,16:50:00
YB2230-20240628-20240915-0000111,0,YWH,16:30:00,16:30:00
YB2230-20240628-20240915-0000111,1,CXH,17:05:00,17:05:00
YB2236-20240916-20240930-1100000,0,YWH,16:45:00,16:45:00
YB2236-20240916-20240930-1100000,1,CXH,17:20:00,17:20:00
YB2236-20240429-20240915-1111100,0,YWH,16:45:00,16:45:00
YB2236-20240429-20240915-1111100,1,CXH,17:20:00,17:20:00
YB2238-20240429-20240531-0000101,0,YWH,16:50:00,16:50:00
YB2238-20240429-20240531-0000101,1,CXH,17:25:00,17:25:00
YB2238-20240916-20240930-0001010,0,YWH,16:50:00,16:50:00
YB2238-20240916-20240930-0001010,1,CXH,17:25:00,17:25:00
YB2242-20240916-20240930-0011111,0,YWH,17:00:00,17:00:00
